timestamp,course,heading,latitude,longitude,speed,vessel_id,C1 [-] (Parametric Roll Advanced 2 to 1),C2 [-] (Parametric Roll Advanced 2 to 1),C3 [-] (Parametric Roll Advanced 2 to 1),CTotal [-] (Parametric Roll Advanced 2 to 1),Parametric Roll Advanced 2 to 1 [-] (Parametric Roll Advanced 2 to 1),Pitch acceleration [deg/s2] (Motion Sensor),Pitch motion [deg] (Motion Sensor),Pitch motion - period [sec] (Motion Sensor),Pitch velocity [deg/s] (Motion Sensor),Roll acceleration [deg/s2] (Motion Sensor),Roll motion [deg] (Motion Sensor),Roll motion - period [sec] (Motion Sensor),Roll velocity [deg/s] (Motion Sensor),X acceleration [m/s2] (Motion Sensor),X motion [m] (Motion Sensor),X velocity [m/s] (Motion Sensor),Y acceleration [m/s2] (Motion Sensor),Y motion [m] (Motion Sensor),Y velocity [m/s] (Motion Sensor),Yaw acceleration [deg/s2] (Motion Sensor),Yaw motion [deg] (Motion Sensor),Yaw velocity [deg/s] (Motion Sensor),Z acceleration [m/s2] (Motion Sensor),Z motion [m] (Motion Sensor),Z velocity [m/s] (Motion Sensor),rpm,fuel_consumption_t_per_day,fuel_consumption_t_per_hour,fuel_cost_usd_per_hour
2026-03-01 02:45:00,307.29998779,306.94000244,32.76116943,-79.87071991,11.20639992,IMO1,0.06311498,0.1517441,0.53830367,0.01198824,0.0,0.31545809,0.25855583,27.91194916,0.16133037,0.33823541,1.1889888,19.71968079,0.29783389,0.00961911,0.07205608,0.0511577,0.20626669,0.09890876,0.07928243,0.32750714,0.15590753,0.18664083,0.01170514,0.01607605,0.01079131,44.82559968,62.5483464168057,2.6061811007002373,2606.1811007002375
2026-03-01 03:00:00,310.3999939,319.51000977,32.78353882,-79.91294861,10.15050983,IMO1,0.04282644,0.06865141,0.52720469,0.00064934,0.0,0.32148391,0.26638833,34.03902054,0.16249038,0.32801482,0.76084501,79.55944061,0.21422558,0.0079486,0.06949991,0.05005042,0.13090044,0.07948928,0.06004114,0.31662634,0.14411779,0.17587149,0.00684115,0.00822521,0.00573559,40.60203932,46.48159799104104,1.93673324962671,1936.73324962671
2026-03-01 03:15:00,42.79999924,43.77000046,32.81644821,-79.90962982,8.48372746,IMO1,0.02569693,0.06288889,0.49856219,0.00262277,0.0,0.32890853,0.26461804,34.23271942,0.16382125,0.35423669,0.80830139,20.28294945,0.25608695,0.0076492,0.06612676,0.04779658,0.1460951,0.08771358,0.06724821,0.31564796,0.15427601,0.17176782,0.00774807,0.00830279,0.00603751,33.93490984,27.137985552570402,1.1307493980237668,1130.7493980237668
2026-03-01 03:30:00,44.59999847,34.54999924,32.82767868,-79.89665222,3.79831505,IMO1,0.02242637,0.1241946,0.29516429,0.00021761,0.0,0.32128385,0.26988167,36.9040184,0.1594198,0.33244452,0.28770137,39.38043976,0.16563453,0.00556961,0.06268848,0.04723326,0.02419503,0.06245099,0.04635296,0.30571234,0.14097694,0.1566962,0.00547855,0.00661453,0.0047631,15.1932602,2.435512903398242,0.10147970430826009,101.47970430826008
2026-03-01 03:45:00,21.5,21.65999985,32.82941818,-79.89362335,0.77115601,IMO1,0.03212911,0.1088647,0.3729057,0.00122147,0.0,0.32248461,0.26234421,31.42583084,0.16292472,0.31860527,0.35066763,40.8819809,0.16679794,0.00856287,0.06881358,0.04974269,0.04360292,0.06632264,0.04913062,0.3141236,0.13707344,0.15654831,0.0060963,0.00906274,0.0060708,3.08462404,0.02038187926761831,0.0008492449694840963,0.8492449694840962
2026-03-01 04:00:00,195.1000061,21.70999908,32.82947159,-79.89360046,0.00628507,IMO1,0.0113324,0.1444445,0.3307572,1.024e-05,0.0,0.34721789,0.30504629,50.6321106,0.17266557,0.3388558,0.27866459,27.45606995,0.16676243,0.00609537,0.06958901,0.05088387,0.00745777,0.06526791,0.04839603,0.32160053,0.14998323,0.16294414,0.00545571,0.00751025,0.00517719,0.02514028,1.1034377532206217e-08,4.5976573050859237e-10,4.5976573050859237e-07
2026-03-01 04:15:00,15.0,21.53000069,32.82947159,-79.89360046,0.0,IMO1,0.01089235,0.08064874,0.26484051,1.94e-06,0.0,0.32529098,0.24214175,38.29853058,0.15782277,0.31087604,0.27036953,57.94319153,0.1586245,0.0059706,0.06032841,0.04359425,0.00527811,0.06872649,0.04888889,0.32170787,0.15453345,0.16767764,0.00562523,0.00746236,0.0052126,0.0,0.0,0.0,0.0
2026-03-01 04:30:00,195.0,21.56999969,32.82947159,-79.89360046,0.0,IMO1,0.01810678,0.09533333,0.44073701,4e-08,0.0,0.32669276,0.3073231,31.73378944,0.16694172,0.33069599,0.32260954,41.2955513,0.16955537,0.00551741,0.0694197,0.05232891,0.00572473,0.06949166,0.05332015,0.31821826,0.15165479,0.16181536,0.00530131,0.00673658,0.00479156,0.0,0.0,0.0,0.0
2026-03-01 04:45:00,195.0,21.57999992,32.82947159,-79.89360046,0.0,IMO1,0.03159137,0.0728727,0.34428301,0.00078452,0.0,0.32375908,0.2718851,29.6606102,0.16242023,0.31729379,0.26220164,44.75632095,0.16059007,0.00511777,0.07067026,0.05111328,0.00470762,0.06675167,0.04721706,0.32495946,0.14552902,0.16398646,0.00558723,0.00721548,0.00511523,0.0,0.0,0.0,0.0
2026-03-01 05:00:00,195.0,21.57999992,32.82947159,-79.89360046,0.0,IMO1,0.0167064,0.09464563,0.28709051,4.691e-05,0.0,0.31346959,0.27534297,46.36283112,0.15856758,0.33401576,0.29838493,29.58378983,0.16994819,0.00595372,0.06375226,0.04714932,0.0049712,0.07074755,0.05271441,0.32264638,0.15622744,0.16279508,0.00564826,0.00691819,0.00497697,0.0,0.0,0.0,0.0
